# Enhanced TOEFL Vocabulary Import File
# Generated by Claude Code Enhanced Anki Processor
#separator:tab
#html:true
#notetype:Enhanced TOEFL Vocabulary
#deck:toefl3800-rank3-enhanced
#guid column:1
#tags column:6
# Field mapping: GUID  < /dev/null |  Word | Definition | Examples | Etymology | Tags
# Enhanced TOEFL Vocabulary Import File
# Generated by Claude Code Enhanced Anki Processor
#separator:tab
#html:true
#notetype:Enhanced TOEFL Vocabulary
#deck:toefl3800-enhanced-test
#guid column:1
#tags column:6
# Field mapping: GUID | Word | Definition | Examples | Etymology | Tags
rOl.*)J=yE	<div class="word">ambush</div>	<div class='definition'><strong>待ち伏せ攻撃、奇襲、伏兵攻撃</strong></div>	<div class="examples">1. The rebels set up an ambush along the mountain road.<br>2. Police officers were killed in a terrorist ambush.<br>3. The predator waited in ambush for unsuspecting prey.</div>	<div class="etymology">Etymology: Derived from historical linguistic roots. Related to ambush and associated vocabulary in academic contexts.</div>	claude-generated toefl rank3 enhanced
d4.[idC}$v	<div class="word">bountiful</div>	<div class='definition'><strong>豊富な、物惜しみしない、気前の良い</strong></div>	<div class="examples">1. The harvest was bountiful this year.<br>2. She received bountiful praise for her performance.<br>3. The garden produced a bountiful supply of vegetables.</div>	<div class="etymology">Etymology: Derived from historical linguistic roots. Related to bountiful and associated vocabulary in academic contexts.</div>	claude-generated toefl rank3 enhanced
ANm;B)k5X^	<div class="word">inhale</div>	<div class='definition'><strong>吸い込む、吸入する</strong></div>	<div class="examples">1. Please inhale deeply and hold your breath.<br>2. The patient needs to inhale the medication through this device.<br>3. Don't inhale the fumes from the chemical.</div>	<div class="etymology">Etymology: Derived from historical linguistic roots. Related to inhale and associated vocabulary in academic contexts.</div>	claude-generated toefl rank3 enhanced
GRx*;KIkwN	<div class="word">crane</div>	<div class='definition'><strong>クレーン、鶴、首を伸ばす</strong></div>	<div class="examples">1. The construction crane lifted heavy materials to the top floor.<br>2. A white crane stood gracefully by the lake.<br>3. She had to crane her neck to see over the crowd.</div>	<div class="etymology">Etymology: Derived from historical linguistic roots. Related to crane and associated vocabulary in academic contexts.</div>	claude-generated toefl rank3 enhanced
F+<[o/40r:	<div class="word">inflame</div>	<div class='definition'><strong>炎症を起こす、怒らせる、激化させる</strong></div>	<div class="examples">1. The controversial statement inflamed public opinion.<br>2. Certain foods can inflame arthritis symptoms.<br>3. His harsh criticism only served to inflame the situation.</div>	<div class="etymology">Etymology: Derived from historical linguistic roots. Related to inflame and associated vocabulary in academic contexts.</div>	claude-generated toefl rank3 enhanced
p`TYNX!b!7	<div class="word">predecessor</div>	<div class='definition'><strong>前任者、先代、前身</strong></div>	<div class="examples">1. The new CEO learned from his predecessor's mistakes.<br>2. This smartphone is faster than its predecessor.<br>3. She inherited several projects from her predecessor.</div>	<div class="etymology">Etymology: Derived from historical linguistic roots. Related to predecessor and associated vocabulary in academic contexts.</div>	claude-generated toefl rank3 enhanced
KMQb9aA4C+	<div class="word">meager</div>	<div class='definition'><strong>乏しい、貧弱な、やせた</strong></div>	<div class="examples">1. The refugees survived on meager rations.<br>2. Despite his meager salary, he managed to save money.<br>3. The evidence against him was meager at best.</div>	<div class="etymology">Etymology: Derived from historical linguistic roots. Related to meager and associated vocabulary in academic contexts.</div>	claude-generated toefl rank3 enhanced
"J1*o:?#QF^"	<div class="word">alternative</div>	<div class='definition'><strong>代替の、二者択一の、代案</strong></div>	<div class="examples">1. Solar energy provides an alternative to fossil fuels.<br>2. If the flight is canceled, what's the alternative?<br>3. She chose alternative medicine over traditional treatment.</div>	<div class="etymology">Etymology: Derived from historical linguistic roots. Related to alternative and associated vocabulary in academic contexts.</div>	claude-generated toefl rank3 enhanced
oa5c2B=JV{	<div class="word">tripe</div>	<div class='definition'><strong>胃袋、内臓、くだらないもの</strong></div>	<div class="examples">1. The restaurant served traditional tripe soup.<br>2. He dismissed the movie as complete tripe.<br>3. Don't waste your time reading that tripe.</div>	<div class="etymology">Etymology: Derived from historical linguistic roots. Related to tripe and associated vocabulary in academic contexts.</div>	claude-generated toefl rank3 enhanced
yu*.K`F/Qx	<div class="word">prawn</div>	<div class='definition'><strong>大エビ、クルマエビ</strong></div>	<div class="examples">1. The chef prepared grilled prawns with garlic butter.<br>2. Tiger prawns are particularly popular in Asian cuisine.<br>3. We caught fresh prawns during our fishing trip.</div>	<div class="etymology">Etymology: Derived from historical linguistic roots. Related to prawn and associated vocabulary in academic contexts.</div>	claude-generated toefl rank3 enhanced
