問題文	選択肢A	選択肢B	選択肢C	選択肢D	正解	解説	Text	タグ	ファイル名
What is probably the most effective type of control for this task?	Steve is a security practitioner assigned to come up with a	pedestrians. ~) 39 vy	What is probably the most effective type of control for this task?	Administrative	Technical	Physical controls, such as fences, walls and bollards, will be most likely to ensure cars cannot collide with pedestrians by creating actual barriers between cars and pedestrians.	{{c1::Technical}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-51-05.png
Which concept does this task demonstrate?	Fe ntae te PERN Se oR Cee e Cy ETO SOT Fun wine Kuss	Chad is a security practitioner tasked with ensuring that the	> _ byanyone outside the organization. 27	Which concept does this task demonstrate?	Fe ntae te PERN Se oR Cee e Cy ETO SOT Fun wine Kuss	Preventing unauthorized modification is the definition of integrity.	{{c1::Fe ntae te PERN Se oR Cee e Cy ETO SOT Fun wine Kuss}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-51-22.png
Which of the following is an example of a ""Something you know"" 29 30	Which concept does this task demonstrate?	Which of the following is an example of a ""Something you know"" 29 30	°? authentication factor?	Fingerprint	User ID	A password is something the user knows and can present as an authentication factor to confirm an identity	{{c1::User ID}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-51-29.png
Which of the following is an example of a ""Something you are""	WING UF Wie tunUWiniy I> an CAaIpie Ula SUTTeuniy you KiUWw	Which of the following is an example of a ""Something you are""	Acredit card presented to a cash machine	A photograph of your face	Auser ID	A facial photograph is something you are, your appearance. Asystem collects transactional information and stores i record in order to show which users performed which actions.	{{c1::Auser ID}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-51-34.png
What is the European Union (EU) law that grants legal	AULNENUGAUUTT FacLur s	Asystem collects transactional information and stores it ina	Which concept does this demonstrate?	Multifactor authentication	AULNENUGAUUTT FacLur s	Non-repudiation describes the concept that users cannot deny having performed transactions that they did, in fact, conduct. A system that keeps a record of user transactions provides non-repudiation.	{{c1::AULNENUGAUUTT FacLur s}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-51-40.png
For which of the following systems would the security concept of	Which concept does this demonstrate?	What is the European Union (EU) law that grants legal	The General Data Protection Regulation	The Maastricht Treaty (the Treaty on European Union)	Which concept does this demonstrate?	The GDPR is the EU law that treats privacy as a human right.	{{c1::Which concept does this demonstrate?}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-51-44.png
For which of the following assets is integrity probably the MOST /\ aN aN	h of the following systems would the security concept of s	be considered MOST important? ES) v	3) Medical systems that monitor patient conditions in an intensive-care unit	Medical systems that store patient data	Medical systems that store patient data	Information that reflects patient conditions is data that necessarily must be kept available in real time, because that data is directly linked to patient well-being (and possibly a matter of life or death). This is, by far, the most important of the options listed.	{{c1::Medical systems that store patient data}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-51-49.png
For which of the following assets is integrity probably the MOST (100 (*)	For which of the following assets is integrity probably the MOST (100 (*)	important security aspect? v	One frame of a streaming video	Software that checks the spelling of product descriptions for a retail website	For which of the following assets is integrity probably the MOST (100 (*)	If a password file is modified, the impact to the environment could be significant; there is a possibility that all authorized users could be denied access, or that anyone (including unauthorized users) could be granted access. The integrity of the password file is probably the most crucial of the four options listed. In risk management, which concept reflects something a ©) (100) 36 security practitioner might need to protect?	{{c1::For which of the following assets is integrity probably the MOST (100 (*)}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-51-53.png
? security practitioner might need to protect?	In risk management, which concept reflects something a (100	? security practitioner might need to protect?	QY) Asset	Likelihood	Likelihood	An asset is anything with value, and a security practitioner may need to protect assets. In risk management concepts, what is something or someone ” 2 that poses risk to an organization or asset?	{{c1::Likelihood}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-51-59.png
? security practitioner might need to protect?	In risk management, which concept reflects something a (100	? security practitioner might need to protect?	In risk management concepts, what is something or someone ”	2 that poses risk to an organization or asset?	In risk management, which concept reflects something a (100	A threat is something or someone that poses risk to the organization; this is the definition of a threat. Of the follawina which would nrahahlv NOT he conciderad a “™ “™~	{{c1::In risk management, which concept reflects something a (100}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-52-03.png
Of the following, which would probably NOT be considered a (100 (#)	Of the following, which would probably NOT be considered a (100 (#)	°° threat? v	3) A laptop with sensitive data on it	An external attacker trying to gain unauthorized access to the environment	An external attacker trying to gain unauthorized access to the environment	A laptop, and the data on it, are assets, not threats. All the other answers are examples of threats because they all have the potential to cause adverse impact to the organization and its assets. > Which of the following probably poses the MOST risk? ~) (~) vy Conect Score Seconds	{{c1::An external attacker trying to gain unauthorized access to the environment}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-52-13.png
> Which of the following probably poses the MOST risk? ~) (~) vy	bauer pee cancrs	> Which of the following probably poses the MOST risk? ~) (~) vy	3) A high-likelihood, high-impact event	A high-likelihood, low-impact event	A high-likelihood, low-impact event	An event that has a significant probability of occurring (""high-likelinood"") and also has a severe negative consequence (high-impact) poses the most risk. 9 Within the organization, who can identify risk? (®) 33 wy) Incorrect Score Seconds	{{c1::A high-likelihood, low-impact event}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-52-21.png
What concent does Kerpak's solution demonstrate?	9 Within the organization, who can identify risk? (®)	Any security team member	Senior management	The security manager	9 Within the organization, who can identify risk? (®)	Anyone within the organization can identify risk. Kerpak works in the security office of a medium-sized entertainment company. Kerpak is asked to assess a particular threat, and he suggests that the best way to counter this threat > would be to purchase and implement a particular security	{{c1::9 Within the organization, who can identify risk? (®)}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-52-26.png
