Front	Back	Tags
"Q1: Steve is a security practitioner assigned to come up with a protective measure for ensuring that cars don't collide with pedestrians.

What is probably the most effective type of control for this task?

A. Administrative
B. Nuanced
C. Physical
D. Technical

正解: {c1::Physical}

解説: Physical controls, such as fences, walls and bollards, will be most likely to ensure cars cannot collide with pedestrians by creating actual barriers between cars and pedestrians."		cc-practice security-plus choices-included
"Q2: Chad is a security practitioner tasked with ensuring that the information on the organization's public website is not changed by anyone outside the organization.

Which concept does this task demonstrate?

A. Availability
B. Confidentiality
C. Confirmation
D. Integrity

正解: {c1::Integrity}

解説: Preventing unauthorized modification is the definition of integrity."		cc-practice security-plus choices-included
"Q3: Which of the following is an example of a 'Something you know' authentication factor?

A. Fingerprint
B. Iris scan
C. Password
D. User ID

正解: {c1::Password}

解説: A password is something the user knows and can present as an authentication factor to confirm an identity assertion."		cc-practice security-plus choices-included
"Q4: Which of the following is an example of a 'Something you are' authentication factor?

A. A credit card presented to a cash machine
B. A photograph of your face
C. A user ID
D. Your password and PIN

正解: {c1::A photograph of your face}

解説: A facial photograph is something you are, your appearance."		cc-practice security-plus choices-included
"Q5: A system collects transactional information and stores it in a record in order to show which users performed which actions.

Which concept does this demonstrate?

A. Biometrics
B. Multifactor authentication
C. Non-repudiation
D. Privacy

正解: {c1::Non-repudiation}

解説: Non-repudiation describes the concept that users cannot deny having performed transactions that they did, in fact, conduct. A system that keeps a record of user transactions provides non-repudiation."		cc-practice security-plus choices-included
"Q6: What is the European Union (EU) law that grants legal protections to individual human privacy?

A. The General Data Protection Regulation
B. The Maastricht Treaty (the Treaty on European Union)
C. The Privacy Human Rights Act
D. The Schengen Agreement

正解: {c1::The General Data Protection Regulation}

解説: The GDPR is the EU law that treats privacy as a human right."		cc-practice security-plus choices-included
"Q7: For which of the following systems would the security concept of availability be considered MOST important?

A. Medical systems that monitor patient conditions in an intensive-care unit
B. Medical systems that store patient data
C. Online streaming of camera feeds that display historical works of art in museums around the world
D. Retail records of past transactions

正解: {c1::Medical systems that monitor patient conditions in an intensive-care unit}

解説: Information that reflects patient conditions is data that necessarily must be kept available in real time, because that data is directly linked to patient well-being (and possibly a matter of life or death). This is, by far, the most important of the options listed."		cc-practice security-plus choices-included
"Q8: For which of the following assets is integrity probably the MOST important security aspect?

A. One frame of a streaming video
B. Software that checks the spelling of product descriptions for a retail website
C. The color scheme of a marketing website
D. The file that contains passwords used to authenticate users

正解: {c1::The file that contains passwords used to authenticate users}

解説: If a password file is modified, the impact to the environment could be significant; there is a possibility that all authorized users could be denied access, or that anyone (including unauthorized users) could be granted access. The integrity of the password file is probably the most crucial of the four options listed."		cc-practice security-plus choices-included
"Q9: In risk management, which concept reflects something a security practitioner might need to protect?

A. Asset
B. Likelihood
C. Threat
D. Vulnerability

正解: {c1::Asset}

解説: An asset is anything with value, and a security practitioner may need to protect assets."		cc-practice security-plus choices-included
"Q10: In risk management concepts, what is something or someone that poses risk to an organization or asset?

A. Asset
B. Control
C. Fear
D. Threat

正解: {c1::Threat}

解説: A threat is something or someone that poses risk to the organization; this is the definition of a threat."		cc-practice security-plus choices-included
"Q11: Of the following, which would probably NOT be considered a threat?

A. A laptop with sensitive data on it
B. An external attacker trying to gain unauthorized access to the environment
C. Natural disaster
D. Unintentional damage to the system caused by a user

正解: {c1::A laptop with sensitive data on it}

解説: A laptop, and the data on it, are assets, not threats. All the other answers are examples of threats because they all have the potential to cause adverse impact to the organization and its assets."		cc-practice security-plus choices-included
"Q12: Which of the following probably poses the MOST risk?

A. A high-likelihood, high-impact event
B. A high-likelihood, low-impact event
C. A low-likelihood, high-impact event
D. A low-likelihood, low-impact event

正解: {c1::A high-likelihood, high-impact event}

解説: An event that has a significant probability of occurring ('high-likelihood') and also has a severe negative consequence (high-impact) poses the most risk."		cc-practice security-plus choices-included
"Q13: Within the organization, who can identify risk?

A. Anyone
B. Any security team member
C. Senior management
D. The security manager

正解: {c1::Anyone}

解説: Anyone within the organization can identify risk."		cc-practice security-plus choices-included
"Q14: Kerpak works in the security office of a medium-sized entertainment company. Kerpak is asked to assess a particular threat, and he suggests that the best way to counter this threat would be to purchase and implement a particular security solution.

What concept does Kerpak's solution demonstrate?

A. Acceptance
B. Avoidance
C. Mitigation
D. Transference

正解: {c1::Mitigation}

解説: Applying a security solution (a type of control) is an example of mitigation."		cc-practice security-plus choices-included
"Q15: Sophia is visiting Las Vegas and decides to put a bet on a particular number on a roulette wheel.

Fill in the missing word: This is an example of _______.

A. Acceptance
B. Avoidance
C. Mitigation
D. Transference

正解: {c1::Acceptance}

解説: Sophia is accepting the risk that the money will be lost, even though the likelihood is high; Sophia has decided that the potential benefit (winning the bet), while low in likelihood, is worth the risk."		cc-practice security-plus choices-included
"Q16: Phrenal is selling a used laptop in an online auction. Phrenal has estimated the value of the laptop to be $100, but has seen other laptops of similar type and quality sell for both more and less than that amount. Phrenal hopes that the laptop will sell for $100 or more, but is prepared to take less for it if nobody bids that amount.

What concept does this demonstrate?

A. Risk inversion
B. Risk tolerance
C. Threat
D. Vulnerability

正解: {c1::Risk tolerance}

解説: Phrenal has decided there is an acceptable level of risk associated with the online sale of the laptop; this is within Phrenal's risk tolerance."		cc-practice security-plus choices-included
"Q17: A software firewall is an application that runs on a device and prevents specific types of traffic from entering that device.

Which type of control is this?

A. Administrative
B. Passive
C. Physical
D. Technical

正解: {c1::Technical}

解説: A software firewall is a technical control because it is a part of the IT environment."		cc-practice security-plus choices-included
"Q18: At the airport, there are red lines painted on the ground next to the runway, which prohibits traffic from crossing it.

Which type of control does this exemplify?

A. Administrative
B. Critical
C. Physical
D. Technical

正解: {c1::Physical}

解説: A red line that is painted on the ground at the airport to prohibit traffic from crossing it is a physical control, like a stop sign on the roadway is."		cc-practice security-plus choices-included
"Q19: A bollard is a post set securely in the ground in order to prevent a vehicle from entering an area or driving past a certain point.

Bollards are an example of which type of control?

A. Administrative
B. Critical
C. Physical
D. Technical

正解: {c1::Physical}

解説: A bollard is a tangible object that prevents a physical act from occurring; this is a physical control."		cc-practice security-plus choices-included
"Q20: Druna is a security practitioner tasked with ensuring that laptops are not stolen from the organization's offices.

Which kind of security control would probably be BEST for this purpose?

A. Administrative
B. Obverse
C. Physical
D. Technical

正解: {c1::Physical}

解説: Because laptops are tangible objects, and Druna is trying to ensure that these objects are not moved from a certain place, physical controls are probably best for the purpose."		cc-practice security-plus choices-included
"Q21: Triffid Corporation has a policy that all employees must receive security awareness instruction before using email; the company wants to make employees aware of potential phishing attempts that the employees might receive via email.

What kind of control is this instruction?

A. Administrative
B. Finite
C. Physical
D. Technical

正解: {c1::Administrative}

解説: Both the policy and the instruction are administrative controls; rules and governance are administrative."		cc-practice security-plus choices-included
"Q22: ISC2 publishes a Common Body of Knowledge (CBK) that IT security practitioners should be familiar with; this is recognized throughout the industry as a valuable resource for practitioners. Certifications can be issued for demonstrating expertise in this Common Body of Knowledge.

What kind of document is the Common Body of Knowledge?

A. Law
B. Policy
C. Procedure
D. Standard

正解: {c1::Standard}

解説: The Common Body of Knowledge is used throughout the industry, recognized among many people, countries and organizations. This is a standard."		cc-practice security-plus choices-included
"Q23: The city of San Jose wants to ensure that all of its citizens are protected from malware, so the city council creates a rule that anyone caught creating and launching malware within the city limits will receive a fine and go to jail.

What kind of rule is this?

A. Law
B. Policy
C. Procedure
D. Standard

正解: {c1::Law}

解説: The city council is a governmental body making a legal mandate; this is a law."		cc-practice security-plus choices-included
